GEO_ID,NAME
1400000US13021013408,"Census Tract 134.08, Bibb County, Georgia"
1400000US13021013409,"Census Tract 134.09, Bibb County, Georgia"
1400000US13021013410,"Census Tract 134.10, Bibb County, Georgia"
1400000US13021013411,"Census Tract 134.11, Bibb County, Georgia"
1400000US13021013502,"Census Tract 135.02, Bibb County, Georgia"
1400000US13021013503,"Census Tract 135.03, Bibb County, Georgia"
1400000US13021013504,"Census Tract 135.04, Bibb County, Georgia"
1400000US13021013603,"Census Tract 136.03, Bibb County, Georgia"
1400000US13021013604,"Census Tract 136.04, Bibb County, Georgia"
1400000US13021013605,"Census Tract 136.05, Bibb County, Georgia"
1400000US13021013606,"Census Tract 136.06, Bibb County, Georgia"
1400000US13021013700,"Census Tract 137, Bibb County, Georgia"
1400000US13021013800,"Census Tract 138, Bibb County, Georgia"
1400000US13021013900,"Census Tract 139, Bibb County, Georgia"
1400000US13023790100,"Census Tract 7901, Bleckley County, Georgia"
1400000US13023790200,"Census Tract 7902, Bleckley County, Georgia"
1400000US13023790300,"Census Tract 7903, Bleckley County, Georgia"
1400000US13025960100,"Census Tract 9601, Brantley County, Georgia"
1400000US13025960200,"Census Tract 9602, Brantley County, Georgia"
1400000US13025960300,"Census Tract 9603, Brantley County, Georgia"
1400000US13027960200,"Census Tract 9602, Brooks County, Georgia"
1400000US13027960300,"Census Tract 9603, Brooks County, Georgia"
1400000US13027960400,"Census Tract 9604, Brooks County, Georgia"
1400000US13027960500,"Census Tract 9605, Brooks County, Georgia"
1400000US13027960600,"Census Tract 9606, Brooks County, Georgia"
1400000US13029920101,"Census Tract 9201.01, Bryan County, Georgia"
1400000US13029920102,"Census Tract 9201.02, Bryan County, Georgia"
1400000US13029920301,"Census Tract 9203.01, Bryan County, Georgia"
1400000US13029920303,"Census Tract 9203.03, Bryan County, Georgia"
1400000US13029920305,"Census Tract 9203.05, Bryan County, Georgia"
1400000US13029920306,"Census Tract 9203.06, Bryan County, Georgia"
1400000US13029980000,"Census Tract 9800, Bryan County, Georgia"
1400000US13031110100,"Census Tract 1101, Bulloch County, Georgia"
1400000US13031110200,"Census Tract 1102, Bulloch County, Georgia"
1400000US13031110300,"Census Tract 1103, Bulloch County, Georgia"
1400000US13031110401,"Census Tract 1104.01, Bulloch County, Georgia"
1400000US13031110403,"Census Tract 1104.03, Bulloch County, Georgia"
1400000US13031110404,"Census Tract 1104.04, Bulloch County, Georgia"
1400000US13031110500,"Census Tract 1105, Bulloch County, Georgia"
1400000US13031110601,"Census Tract 1106.01, Bulloch County, Georgia"
1400000US13031110602,"Census Tract 1106.02, Bulloch County, Georgia"
1400000US13031110700,"Census Tract 1107, Bulloch County, Georgia"
1400000US13031110800,"Census Tract 1108, Bulloch County, Georgia"
1400000US13031110900,"Census Tract 1109, Bulloch County, Georgia"
1400000US13033950100,"Census Tract 9501, Burke County, Georgia"
1400000US13033950200,"Census Tract 9502, Burke County, Georgia"
1400000US13033950400,"Census Tract 9504, Burke County, Georgia"
1400000US13033950500,"Census Tract 9505, Burke County, Georgia"
1400000US13033950700,"Census Tract 9507, Burke County, Georgia"
1400000US13033950900,"Census Tract 9509, Burke County, Georgia"
1400000US13035150100,"Census Tract 1501, Butts County, Georgia"
1400000US13035150200,"Census Tract 1502, Butts County, Georgia"
1400000US13035150300,"Census Tract 1503, Butts County, Georgia"
1400000US13037950100,"Census Tract 9501, Calhoun County, Georgia"
1400000US13037950200,"Census Tract 9502, Calhoun County, Georgia"
1400000US13039010100,"Census Tract 101, Camden County, Georgia"
1400000US13039010200,"Census Tract 102, Camden County, Georgia"
1400000US13039010301,"Census Tract 103.01, Camden County, Georgia"
1400000US13039010302,"Census Tract 103.02, Camden County, Georgia"
1400000US13039010401,"Census Tract 104.01, Camden County, Georgia"
1400000US13039010402,"Census Tract 104.02, Camden County, Georgia"
1400000US13039010403,"Census Tract 104.03, Camden County, Georgia"
1400000US13039010500,"Census Tract 105, Camden County, Georgia"
1400000US13039010601,"Census Tract 106.01, Camden County, Georgia"
1400000US13039010602,"Census Tract 106.02, Camden County, Georgia"
1400000US13039990000,"Census Tract 9900, Camden County, Georgia"
1400000US13043950100,"Census Tract 9501, Candler County, Georgia"
1400000US13043950200,"Census Tract 9502, Candler County, Georgia"
1400000US13043950300,"Census Tract 9503, Candler County, Georgia"
1400000US13045910101,"Census Tract 9101.01, Carroll County, Georgia"
1400000US13045910103,"Census Tract 9101.03, Carroll County, Georgia"
1400000US13045910104,"Census Tract 9101.04, Carroll County, Georgia"
1400000US13045910200,"Census Tract 9102, Carroll County, Georgia"
1400000US13045910300,"Census Tract 9103, Carroll County, Georgia"
1400000US13045910400,"Census Tract 9104, Carroll County, Georgia"
1400000US13045910501,"Census Tract 9105.01, Carroll County, Georgia"
1400000US13045910502,"Census Tract 9105.02, Carroll County, Georgia"
1400000US13045910600,"Census Tract 9106, Carroll County, Georgia"
1400000US13045910701,"Census Tract 9107.01, Carroll County, Georgia"
1400000US13045910702,"Census Tract 9107.02, Carroll County, Georgia"
1400000US13045910703,"Census Tract 9107.03, Carroll County, Georgia"
1400000US13045910800,"Census Tract 9108, Carroll County, Georgia"
1400000US13045910900,"Census Tract 9109, Carroll County, Georgia"
1400000US13045911000,"Census Tract 9110, Carroll County, Georgia"
1400000US13045911100,"Census Tract 9111, Carroll County, Georgia"
1400000US13045911200,"Census Tract 9112, Carroll County, Georgia"
1400000US13047030100,"Census Tract 301, Catoosa County, Georgia"
1400000US13047030201,"Census Tract 302.01, Catoosa County, Georgia"
1400000US13047030202,"Census Tract 302.02, Catoosa County, Georgia"
1400000US13047030301,"Census Tract 303.01, Catoosa County, Georgia"
1400000US13047030303,"Census Tract 303.03, Catoosa County, Georgia"
1400000US13047030304,"Census Tract 303.04, Catoosa County, Georgia"
1400000US13047030401,"Census Tract 304.01, Catoosa County, Georgia"
1400000US13047030402,"Census Tract 304.02, Catoosa County, Georgia"
1400000US13047030500,"Census Tract 305, Catoosa County, Georgia"
1400000US13047030600,"Census Tract 306, Catoosa County, Georgia"
1400000US13047030700,"Census Tract 307, Catoosa County, Georgia"
1400000US13049010100,"Census Tract 101, Charlton County, Georgia"
1400000US13049010200,"Census Tract 102, Charlton County, Georgia"
1400000US13051000100,"Census Tract 1, Chatham County, Georgia"
1400000US13051000300,"Census Tract 3, Chatham County, Georgia"
1400000US13051000601,"Census Tract 6.01, Chatham County, Georgia"
1400000US13051000900,"Census Tract 9, Chatham County, Georgia"
1400000US13051001100,"Census Tract 11, Chatham County, Georgia"
1400000US13051001200,"Census Tract 12, Chatham County, Georgia"
1400000US13051001500,"Census Tract 15, Chatham County, Georgia"
1400000US13051002000,"Census Tract 20, Chatham County, Georgia"
1400000US13051002100,"Census Tract 21, Chatham County, Georgia"
1400000US13051002200,"Census Tract 22, Chatham County, Georgia"
1400000US13051002300,"Census Tract 23, Chatham County, Georgia"
1400000US13051002600,"Census Tract 26, Chatham County, Georgia"
1400000US13051002700,"Census Tract 27, Chatham County, Georgia"
1400000US13051002800,"Census Tract 28, Chatham County, Georgia"
1400000US13051002900,"Census Tract 29, Chatham County, Georgia"
1400000US13051003000,"Census Tract 30, Chatham County, Georgia"
1400000US13051003301,"Census Tract 33.01, Chatham County, Georgia"
1400000US13051003302,"Census Tract 33.02, Chatham County, Georgia"
1400000US13051003400,"Census Tract 34, Chatham County, Georgia"
1400000US13051003501,"Census Tract 35.01, Chatham County, Georgia"
1400000US13051003502,"Census Tract 35.02, Chatham County, Georgia"
1400000US13051003601,"Census Tract 36.01, Chatham County, Georgia"
1400000US13051003602,"Census Tract 36.02, Chatham County, Georgia"
1400000US13051003700,"Census Tract 37, Chatham County, Georgia"
1400000US13051003800,"Census Tract 38, Chatham County, Georgia"
1400000US13051003900,"Census Tract 39, Chatham County, Georgia"
1400000US13051004001,"Census Tract 40.01, Chatham County, Georgia"
1400000US13051004002,"Census Tract 40.02, Chatham County, Georgia"
1400000US13051004100,"Census Tract 41, Chatham County, Georgia"
1400000US13051004207,"Census Tract 42.07, Chatham County, Georgia"
1400000US13051004208,"Census Tract 42.08, Chatham County, Georgia"
1400000US13051004209,"Census Tract 42.09, Chatham County, Georgia"
1400000US13051004210,"Census Tract 42.10, Chatham County, Georgia"
1400000US13051004211,"Census Tract 42.11, Chatham County, Georgia"
1400000US13051004212,"Census Tract 42.12, Chatham County, Georgia"
1400000US13051004300,"Census Tract 43, Chatham County, Georgia"
1400000US13051004400,"Census Tract 44, Chatham County, Georgia"
1400000US13051004500,"Census Tract 45, Chatham County, Georgia"
1400000US13051010101,"Census Tract 101.01, Chatham County, Georgia"
1400000US13051010102,"Census Tract 101.02, Chatham County, Georgia"
1400000US13051010200,"Census Tract 102, Chatham County, Georgia"
1400000US13051010501,"Census Tract 105.01, Chatham County, Georgia"
1400000US13051010502,"Census Tract 105.02, Chatham County, Georgia"
1400000US13051010601,"Census Tract 106.01, Chatham County, Georgia"
1400000US13051010603,"Census Tract 106.03, Chatham County, Georgia"
1400000US13051010605,"Census Tract 106.05, Chatham County, Georgia"
1400000US13051010700,"Census Tract 107, Chatham County, Georgia"
1400000US13051010801,"Census Tract 108.01, Chatham County, Georgia"
1400000US13051010802,"Census Tract 108.02, Chatham County, Georgia"
1400000US13051010803,"Census Tract 108.03, Chatham County, Georgia"
1400000US13051010806,"Census Tract 108.06, Chatham County, Georgia"
1400000US13051010807,"Census Tract 108.07, Chatham County, Georgia"
1400000US13051010808,"Census Tract 108.08, Chatham County, Georgia"
1400000US13051010809,"Census Tract 108.09, Chatham County, Georgia"
1400000US13051010901,"Census Tract 109.01, Chatham County, Georgia"
1400000US13051011003,"Census Tract 110.03, Chatham County, Georgia"
1400000US13051011004,"Census Tract 110.04, Chatham County, Georgia"
1400000US13051011005,"Census Tract 110.05, Chatham County, Georgia"
1400000US13051011006,"Census Tract 110.06, Chatham County, Georgia"
1400000US13051011103,"Census Tract 111.03, Chatham County, Georgia"
1400000US13051011104,"Census Tract 111.04, Chatham County, Georgia"
1400000US13051011106,"Census Tract 111.06, Chatham County, Georgia"
1400000US13051011107,"Census Tract 111.07, Chatham County, Georgia"
1400000US13051011108,"Census Tract 111.08, Chatham County, Georgia"
1400000US13051011109,"Census Tract 111.09, Chatham County, Georgia"
1400000US13051011200,"Census Tract 112, Chatham County, Georgia"
1400000US13051011300,"Census Tract 113, Chatham County, Georgia"
1400000US13051011400,"Census Tract 114, Chatham County, Georgia"
1400000US13051011500,"Census Tract 115, Chatham County, Georgia"
1400000US13051011600,"Census Tract 116, Chatham County, Georgia"
1400000US13051980000,"Census Tract 9800, Chatham County, Georgia"
1400000US13051990000,"Census Tract 9900, Chatham County, Georgia"
1400000US13053020100,"Census Tract 201, Chattahoochee County, Georgia"
1400000US13053020201,"Census Tract 202.01, Chattahoochee County, Georgia"
1400000US13053020203,"Census Tract 202.03, Chattahoochee County, Georgia"
1400000US13053020205,"Census Tract 202.05, Chattahoochee County, Georgia"
1400000US13053020206,"Census Tract 202.06, Chattahoochee County, Georgia"
1400000US13055010100,"Census Tract 101, Chattooga County, Georgia"
1400000US13055010200,"Census Tract 102, Chattooga County, Georgia"
1400000US13055010300,"Census Tract 103, Chattooga County, Georgia"
1400000US13055010400,"Census Tract 104, Chattooga County, Georgia"
1400000US13055010500,"Census Tract 105, Chattooga County, Georgia"
1400000US13055010600,"Census Tract 106, Chattooga County, Georgia"
1400000US13057090100,"Census Tract 901, Cherokee County, Georgia"
1400000US13057090200,"Census Tract 902, Cherokee County, Georgia"
1400000US13057090300,"Census Tract 903, Cherokee County, Georgia"
1400000US13057090400,"Census Tract 904, Cherokee County, Georgia"
1400000US13057090501,"Census Tract 905.01, Cherokee County, Georgia"
1400000US13057090502,"Census Tract 905.02, Cherokee County, Georgia"
1400000US13057090601,"Census Tract 906.01, Cherokee County, Georgia"
1400000US13057090602,"Census Tract 906.02, Cherokee County, Georgia"
1400000US13057090701,"Census Tract 907.01, Cherokee County, Georgia"
1400000US13057090702,"Census Tract 907.02, Cherokee County, Georgia"
1400000US13057090802,"Census Tract 908.02, Cherokee County, Georgia"
1400000US13057090803,"Census Tract 908.03, Cherokee County, Georgia"
1400000US13057090804,"Census Tract 908.04, Cherokee County, Georgia"
1400000US13057090901,"Census Tract 909.01, Cherokee County, Georgia"
1400000US13057090902,"Census Tract 909.02, Cherokee County, Georgia"
1400000US13057090904,"Census Tract 909.04, Cherokee County, Georgia"
1400000US13057090905,"Census Tract 909.05, Cherokee County, Georgia"
1400000US13057091001,"Census Tract 910.01, Cherokee County, Georgia"
1400000US13057091003,"Census Tract 910.03, Cherokee County, Georgia"
1400000US13057091005,"Census Tract 910.05, Cherokee County, Georgia"
1400000US13057091006,"Census Tract 910.06, Cherokee County, Georgia"
1400000US13057091007,"Census Tract 910.07, Cherokee County, Georgia"
1400000US13057091008,"Census Tract 910.08, Cherokee County, Georgia"
1400000US13057091101,"Census Tract 911.01, Cherokee County, Georgia"
1400000US13057091102,"Census Tract 911.02, Cherokee County, Georgia"
1400000US13057091103,"Census Tract 911.03, Cherokee County, Georgia"
1400000US13059000100,"Census Tract 1, Clarke County, Georgia"
1400000US13059000401,"Census Tract 4.01, Clarke County, Georgia"
1400000US13059000402,"Census Tract 4.02, Clarke County, Georgia"
1400000US13059000600,"Census Tract 6, Clarke County, Georgia"
1400000US13059000900,"Census Tract 9, Clarke County, Georgia"
1400000US13059001200,"Census Tract 12, Clarke County, Georgia"
1400000US13059001700,"Census Tract 17, Clarke County, Georgia"
1400000US13059001800,"Census Tract 18, Clarke County, Georgia"
1400000US13059001900,"Census Tract 19, Clarke County, Georgia"
1400000US13059002000,"Census Tract 20, Clarke County, Georgia"
1400000US13059002100,"Census Tract 21, Clarke County, Georgia"
1400000US13059002200,"Census Tract 22, Clarke County, Georgia"
1400000US13059030100,"Census Tract 301, Clarke County, Georgia"
1400000US13059030200,"Census Tract 302, Clarke County, Georgia"
1400000US13059130300,"Census Tract 1303, Clarke County, Georgia"
1400000US13059130400,"Census Tract 1304, Clarke County, Georgia"
1400000US13059130500,"Census Tract 1305, Clarke County, Georgia"
1400000US13059130600,"Census Tract 1306, Clarke County, Georgia"
1400000US13059130700,"Census Tract 1307, Clarke County, Georgia"
1400000US13059140300,"Census Tract 1403, Clarke County, Georgia"
1400000US13059140400,"Census Tract 1404, Clarke County, Georgia"
1400000US13059140500,"Census Tract 1405, Clarke County, Georgia"
1400000US13059140600,"Census Tract 1406, Clarke County, Georgia"
1400000US13059150300,"Census Tract 1503, Clarke County, Georgia"
1400000US13059150400,"Census Tract 1504, Clarke County, Georgia"
1400000US13059150500,"Census Tract 1505, Clarke County, Georgia"
1400000US13059150600,"Census Tract 1506, Clarke County, Georgia"
1400000US13059150700,"Census Tract 1507, Clarke County, Georgia"
1400000US13059150800,"Census Tract 1508, Clarke County, Georgia"
1400000US13059150900,"Census Tract 1509, Clarke County, Georgia"
1400000US13061960300,"Census Tract 9603, Clay County, Georgia"
1400000US13063040202,"Census Tract 402.02, Clayton County, Georgia"
1400000US13063040203,"Census Tract 402.03, Clayton County, Georgia"
1400000US13063040204,"Census Tract 402.04, Clayton County, Georgia"
1400000US13063040302,"Census Tract 403.02, Clayton County, Georgia"
1400000US13063040303,"Census Tract 403.03, Clayton County, Georgia"
1400000US13063040306,"Census Tract 403.06, Clayton County, Georgia"
1400000US13063040307,"Census Tract 403.07, Clayton County, Georgia"
1400000US13063040308,"Census Tract 403.08, Clayton County, Georgia"
1400000US13063040407,"Census Tract 404.07, Clayton County, Georgia"
1400000US13063040408,"Census Tract 404.08, Clayton County, Georgia"
1400000US13063040409,"Census Tract 404.09, Clayton County, Georgia"
1400000US13063040410,"Census Tract 404.10, Clayton County, Georgia"
1400000US13063040411,"Census Tract 404.11, Clayton County, Georgia"
1400000US13063040412,"Census Tract 404.12, Clayton County, Georgia"
1400000US13063040413,"Census Tract 404.13, Clayton County, Georgia"
1400000US13063040414,"Census Tract 404.14, Clayton County, Georgia"
1400000US13063040415,"Census Tract 404.15, Clayton County, Georgia"
1400000US13063040416,"Census Tract 404.16, Clayton County, Georgia"
1400000US13063040417,"Census Tract 404.17, Clayton County, Georgia"
1400000US13063040509,"Census Tract 405.09, Clayton County, Georgia"
1400000US13063040510,"Census Tract 405.10, Clayton County, Georgia"
1400000US13063040512,"Census Tract 405.12, Clayton County, Georgia"
1400000US13063040513,"Census Tract 405.13, Clayton County, Georgia"
1400000US13063040514,"Census Tract 405.14, Clayton County, Georgia"
1400000US13063040515,"Census Tract 405.15, Clayton County, Georgia"
1400000US13063040516,"Census Tract 405.16, Clayton County, Georgia"
1400000US13063040518,"Census Tract 405.18, Clayton County, Georgia"
1400000US13063040519,"Census Tract 405.19, Clayton County, Georgia"
1400000US13063040520,"Census Tract 405.20, Clayton County, Georgia"
1400000US13063040521,"Census Tract 405.21, Clayton County, Georgia"
1400000US13063040522,"Census Tract 405.22, Clayton County, Georgia"
1400000US13063040523,"Census Tract 405.23, Clayton County, Georgia"
1400000US13063040524,"Census Tract 405.24, Clayton County, Georgia"
1400000US13063040525,"Census Tract 405.25, Clayton County, Georgia"
1400000US13063040526,"Census Tract 405.26, Clayton County, Georgia"
1400000US13063040606,"Census Tract 406.06, Clayton County, Georgia"
1400000US13063040608,"Census Tract 406.08, Clayton County, Georgia"
1400000US13063040609,"Census Tract 406.09, Clayton County, Georgia"
1400000US13063040611,"Census Tract 406.11, Clayton County, Georgia"
1400000US13063040612,"Census Tract 406.12, Clayton County, Georgia"
1400000US13063040613,"Census Tract 406.13, Clayton County, Georgia"
1400000US13063040614,"Census Tract 406.14, Clayton County, Georgia"
1400000US13063040615,"Census Tract 406.15, Clayton County, Georgia"
1400000US13063040616,"Census Tract 406.16, Clayton County, Georgia"
1400000US13063040617,"Census Tract 406.17, Clayton County, Georgia"
1400000US13063040619,"Census Tract 406.19, Clayton County, Georgia"
1400000US13063040620,"Census Tract 406.20, Clayton County, Georgia"
1400000US13063040621,"Census Tract 406.21, Clayton County, Georgia"
1400000US13063040622,"Census Tract 406.22, Clayton County, Georgia"
1400000US13063980000,"Census Tract 9800, Clayton County, Georgia"
1400000US13065970100,"Census Tract 9701, Clinch County, Georgia"
1400000US13065970200,"Census Tract 9702, Clinch County, Georgia"
1400000US13067030101,"Census Tract 301.01, Cobb County, Georgia"
1400000US13067030103,"Census Tract 301.03, Cobb County, Georgia"
1400000US13067030104,"Census Tract 301.04, Cobb County, Georgia"
1400000US13067030106,"Census Tract 301.06, Cobb County, Georgia"
1400000US13067030107,"Census Tract 301.07, Cobb County, Georgia"
1400000US13067030209,"Census Tract 302.09, Cobb County, Georgia"
1400000US13067030214,"Census Tract 302.14, Cobb County, Georgia"
1400000US13067030215,"Census Tract 302.15, Cobb County, Georgia"
1400000US13067030218,"Census Tract 302.18, Cobb County, Georgia"
1400000US13067030219,"Census Tract 302.19, Cobb County, Georgia"
1400000US13067030220,"Census Tract 302.20, Cobb County, Georgia"
1400000US13067030222,"Census Tract 302.22, Cobb County, Georgia"
1400000US13067030223,"Census Tract 302.23, Cobb County, Georgia"
1400000US13067030224,"Census Tract 302.24, Cobb County, Georgia"
1400000US13067030226,"Census Tract 302.26, Cobb County, Georgia"
1400000US13067030227,"Census Tract 302.27, Cobb County, Georgia"
1400000US13067030228,"Census Tract 302.28, Cobb County, Georgia"
1400000US13067030229,"Census Tract 302.29, Cobb County, Georgia"
1400000US13067030230,"Census Tract 302.30, Cobb County, Georgia"
1400000US13067030231,"Census Tract 302.31, Cobb County, Georgia"
1400000US13067030232,"Census Tract 302.32, Cobb County, Georgia"
1400000US13067030233,"Census Tract 302.33, Cobb County, Georgia"
1400000US13067030234,"Census Tract 302.34, Cobb County, Georgia"
1400000US13067030235,"Census Tract 302.35, Cobb County, Georgia"
1400000US13067030236,"Census Tract 302.36, Cobb County, Georgia"
1400000US13067030238,"Census Tract 302.38, Cobb County, Georgia"
1400000US13067030239,"Census Tract 302.39, Cobb County, Georgia"
1400000US13067030310,"Census Tract 303.10, Cobb County, Georgia"
1400000US13067030311,"Census Tract 303.11, Cobb County, Georgia"
1400000US13067030312,"Census Tract 303.12, Cobb County, Georgia"
1400000US13067030313,"Census Tract 303.13, Cobb County, Georgia"
1400000US13067030314,"Census Tract 303.14, Cobb County, Georgia"
1400000US13067030318,"Census Tract 303.18, Cobb County, Georgia"
1400000US13067030319,"Census Tract 303.19, Cobb County, Georgia"
1400000US13067030320,"Census Tract 303.20, Cobb County, Georgia"
1400000US13067030322,"Census Tract 303.22, Cobb County, Georgia"
1400000US13067030324,"Census Tract 303.24, Cobb County, Georgia"
1400000US13067030326,"Census Tract 303.26, Cobb County, Georgia"
1400000US13067030327,"Census Tract 303.27, Cobb County, Georgia"
1400000US13067030328,"Census Tract 303.28, Cobb County, Georgia"
1400000US13067030329,"Census Tract 303.29, Cobb County, Georgia"
1400000US13067030330,"Census Tract 303.30, Cobb County, Georgia"
1400000US13067030331,"Census Tract 303.31, Cobb County, Georgia"
1400000US13067030332,"Census Tract 303.32, Cobb County, Georgia"
1400000US13067030333,"Census Tract 303.33, Cobb County, Georgia"
1400000US13067030334,"Census Tract 303.34, Cobb County, Georgia"
1400000US13067030335,"Census Tract 303.35, Cobb County, Georgia"
1400000US13067030336,"Census Tract 303.36, Cobb County, Georgia"
1400000US13067030337,"Census Tract 303.37, Cobb County, Georgia"
1400000US13067030339,"Census Tract 303.39, Cobb County, Georgia"
