nsmoid,weight,hispan,race,mortgage_reason,sale_proceeds,savings_retire_etc,govt_np_asst,second_lien_heloc,gift,seller_cont,total_hh_inc,race_eth
308319,1437.58727477477,2,1,2,-2,0,0,0,0,-2,4,White
308320,450.919436619718,2,1,2,-2,0,0,0,0,-2,3,White
308321,911.554093959731,2,1,1,2,1,0,0,0,2,6,White
308322,1424.7040140845,2,1,2,-2,0,0,0,0,-2,5,White
308323,1293.01951219512,2,1,2,-2,0,0,0,0,-2,5,White
308324,1569.58272727272,2,1,2,-2,0,0,0,0,-2,2,White
308325,1011.53438202247,2,1,2,-2,0,0,0,0,-2,3,White
308326,561.782976190476,2,1,1,2,1,0,0,0,2,5,White
308327,719.765789473684,2,1,1,1,1,0,0,0,2,4,White
308328,3008.09096774193,2,1,2,-2,0,0,0,0,-2,6,White
308329,1786.20923913043,2,1,1,2,0,0,0,1,2,2,White
308330,1601.82837209302,2,1,1,2,1,0,0,0,2,5,White
308331,614.987678571428,2,1,1,1,1,0,0,1,2,5,White
308332,1484.66034246575,2,1,1,2,0,0,0,0,2,4,White
308333,616.653972602739,2,1,2,-2,0,0,0,0,-2,4,White
308334,937.545099337748,2,1,2,-2,0,0,0,0,-2,4,White
308335,1339.75416666666,2,1,1,2,1,0,0,0,2,2,White
308336,1112.94,1,1,1,2,0,0,0,0,2,4,Hispanic
308337,2721.81126760563,2,1,2,-2,0,0,0,0,-2,6,White
308338,1156.14854961832,2,1,1,2,1,0,0,0,2,2,White
308339,580.189549549549,2,3,1,2,0,0,0,1,2,5,Asian
308340,919.748580323785,2,1,1,1,1,0,0,0,2,5,White
308341,607.868699551569,2,3,1,1,1,0,0,0,2,5,Asian
308342,700.158235294117,2,1,1,1,0,0,0,0,2,3,White
308343,1905.3395522388,2,1,1,2,1,0,0,1,2,4,White
308344,1029.46553398058,2,1,2,-2,0,0,0,0,-2,3,White
308345,615.241860465116,2,1,1,2,1,0,0,0,2,2,White
308346,711.571402877697,2,1,2,-2,0,0,0,0,-2,4,White
308347,538.198736842105,2,1,2,-2,0,0,0,0,-2,4,White
308348,1358.10813084112,2,1,5,-2,0,0,0,0,-2,5,White
308349,794.446470588235,2,1,1,1,0,0,0,0,2,4,White
308350,1339.75416666666,2,1,1,1,1,0,1,0,1,5,White
308351,2913.87970588235,2,1,2,-2,0,0,0,0,-2,5,White
308352,1011.53438202247,1,1,1,2,1,0,0,0,2,5,Hispanic
308353,3740.63454545454,1,1,1,2,0,1,0,0,1,3,Hispanic
308354,1787.12578947368,2,1,4,-2,0,0,0,0,-2,4,White
308355,520.050731707317,2,1,1,2,1,0,0,0,2,4,White
308356,3740.63454545454,1,1,1,2,1,0,0,0,2,2,Hispanic
308357,735.379641255605,2,1,2,-2,0,0,0,0,-2,5,White
308358,609.074125874126,2,1,1,2,1,0,0,0,2,5,White
308359,1664.8153488372,2,4,1,2,1,0,0,1,2,3,other or multiple races
308361,442.154083601286,2,1,2,-2,0,0,0,0,-2,6,White
308362,903.160580357142,2,1,1,1,1,0,0,0,2,3,White
308363,1033.79522012578,2,1,1,2,1,0,0,0,2,6,White
308364,1244.0838095238,2,1,2,-2,0,0,0,0,-2,2,White
308365,715.49376146789,2,1,1,1,0,0,0,0,2,5,White
308366,2355.39259259259,2,1,2,-2,0,0,0,0,-2,4,White
308367,1123.18054545454,1,1,1,2,1,0,0,0,2,5,Hispanic
308368,1043.97652173913,2,1,1,1,1,0,0,0,2,5,White
308369,735.379641255605,2,1,1,2,1,0,0,0,1,4,White
308370,3025.06516587677,2,1,2,-2,0,0,0,0,-2,5,White
308371,1293.01951219512,2,1,1,2,0,0,1,0,2,4,White
308372,1700.22743119266,2,1,1,2,1,0,0,1,2,3,White
308373,985.790149253731,2,1,1,2,1,0,0,1,1,3,White
308374,609.074125874126,2,2,2,-2,0,0,0,0,-2,3,Black
308375,538.198736842105,1,1,1,2,1,0,0,0,2,2,Hispanic
308376,1021.4125,2,1,1,2,1,0,1,0,2,6,White
308377,848.22081300813,2,1,1,2,1,0,0,0,2,3,White
308378,643.046857142857,2,2,2,-2,0,0,0,0,-2,3,Black
308379,1838.56246753246,2,1,2,-2,0,0,0,0,-2,2,White
308380,507.918926174496,1,1,1,2,1,1,0,0,2,2,Hispanic
308381,1119.53931034482,2,1,1,1,0,0,0,0,2,5,White
308382,1292.92058823529,2,1,1,2,0,0,0,0,2,3,White
308383,921.287441860465,2,1,1,2,1,0,0,0,2,6,White
308384,1113.29147540983,2,1,1,1,0,0,0,0,2,6,White
308385,559.157456445993,2,1,1,1,1,0,1,0,2,5,White
308386,450.919436619718,2,1,1,2,1,0,0,0,1,5,White
308387,615.241860465116,2,1,1,2,1,0,0,0,2,2,White
308388,559.157456445993,2,1,1,1,0,0,0,0,2,2,White
308389,559.157456445993,2,2,2,-2,0,0,0,0,-2,6,Black
308390,1706.6544117647,2,1,2,-2,0,0,0,0,-2,4,White
308391,3029.94084507042,1,2,1,2,1,0,0,0,2,6,Hispanic
308392,1643.25,2,1,1,2,1,0,0,1,2,2,White
308393,807.977454545454,2,1,2,-2,0,0,0,0,-2,4,White
308394,621.015256410256,2,1,2,-2,0,0,0,0,-2,6,White
308395,908.275121951219,1,1,1,2,1,0,0,1,2,2,Hispanic
308396,1012.99489361702,2,1,2,-2,0,0,0,0,-2,5,White
308397,1112.65689655172,2,1,1,1,0,0,0,0,2,5,White
308398,1181.72856115107,2,1,1,1,0,0,0,0,2,4,White
308399,698.796437246963,2,1,1,1,1,0,1,0,2,5,White
308400,1829.35781609195,1,1,1,2,1,0,0,1,2,3,Hispanic
308401,957.107006369426,2,1,1,2,0,0,0,1,2,3,White
308402,816.408766519824,2,1,2,-2,0,0,0,0,-2,1,White
308403,1021.4125,2,1,2,-2,0,0,0,0,-2,1,White
308405,1383.06762172284,2,1,1,2,1,0,0,0,2,5,White
308406,1026.83716535433,2,3,1,2,1,0,0,1,2,3,Asian
308407,507.918926174496,2,1,1,2,1,0,0,1,2,4,White
308408,1387.14545454545,2,1,2,-2,0,0,0,0,-2,3,White
308409,715.49376146789,2,1,2,-2,0,0,0,0,-2,4,White
308410,1882.92626506024,2,1,1,1,1,0,0,0,2,4,White
308411,711.373893805309,2,1,1,1,0,0,0,0,2,4,White
308412,1119.53931034482,2,1,2,-2,0,0,0,0,-2,3,White
308413,1191.68468468468,2,1,2,-2,0,0,0,0,-2,5,White
308414,2377.96363636363,2,1,4,-2,0,0,0,0,-2,6,White
308415,442.154083601286,2,1,1,2,1,0,0,1,2,5,White
308416,760.054480286738,2,1,2,-2,0,0,0,0,-2,6,White
308417,1296.48522727272,2,1,2,-2,0,0,0,0,-2,4,White
308418,559.157456445993,2,1,1,2,1,0,0,0,2,1,White
308419,1383.06762172284,2,1,2,-2,0,0,0,0,-2,3,White
308420,1664.8153488372,2,3,1,2,0,1,0,1,2,1,Asian
308421,1601.82837209302,2,1,1,2,0,0,0,1,2,2,White
308422,908.275121951219,2,1,2,-2,0,0,0,0,-2,3,White
308423,1136.56162921348,2,1,1,1,1,0,0,0,2,5,White
308424,935.36015936255,2,2,1,1,1,0,0,0,2,5,Black
308425,1021.4125,2,2,2,-2,0,0,0,0,-2,6,Black
308426,964.695849056604,2,2,1,2,1,0,0,0,2,2,Black
308427,609.074125874126,2,1,1,2,1,1,0,0,2,2,White
308428,1181.72856115107,2,1,1,2,0,0,0,0,2,4,White
308429,2143.60666666666,2,1,1,2,1,0,0,0,1,4,White
308430,1021.4125,1,1,2,-2,0,0,0,0,-2,5,Hispanic
308431,3015.05128205128,2,2,1,2,0,0,0,1,2,3,Black
308432,1569.58272727272,1,1,1,2,0,0,1,0,2,3,Hispanic
308433,1664.8153488372,2,1,1,2,1,0,0,0,2,3,White
308434,2833.2974137931,2,1,1,2,1,0,0,0,2,5,White
308435,1028.74925806451,1,1,2,-2,0,0,0,0,-2,1,Hispanic
308436,1619.09913043478,1,1,1,2,0,0,0,0,2,1,Hispanic
308437,3959.3463414634102,2,1,1,2,0,0,0,1,2,3,White
308438,1012.99489361702,2,3,2,-2,0,0,0,0,-2,5,Asian
308439,1028.74925806451,2,3,2,-2,0,0,0,0,-2,2,Asian
308440,1437.58727477477,2,2,2,-2,0,0,0,0,-2,4,Black
308441,507.918926174496,2,1,2,-2,0,0,0,0,-2,5,White
308442,715.49376146789,2,1,2,-2,0,0,0,0,-2,5,White
308443,1484.66034246575,2,1,1,1,0,0,0,0,2,3,White
308444,2178.92603174603,2,1,1,2,0,0,0,0,2,3,White
308445,1335.46115107913,2,1,1,2,1,0,0,0,2,4,White
308446,935.36015936255,2,2,1,2,0,0,0,0,2,2,Black
308447,1024.67764705882,2,2,1,2,0,0,0,0,1,5,Black
308448,1437.58727477477,2,1,1,2,1,0,0,0,1,3,White
308449,698.163063829787,2,1,1,1,0,0,0,0,2,3,White
308450,1786.20923913043,2,1,1,2,1,0,0,1,2,3,White
308451,921.287441860465,1,1,2,-2,0,0,0,0,-2,5,Hispanic
308452,561.782976190476,2,3,1,2,1,0,0,0,2,5,Asian
308453,1367.90560509554,2,1,1,2,1,0,0,1,1,4,White
308454,702.661897435897,2,1,2,-2,0,0,0,0,-2,4,White
308455,1417.0124137931,2,1,1,2,0,0,0,0,1,5,White
308456,1112.65689655172,1,1,1,2,1,0,0,0,2,6,Hispanic
308457,848.22081300813,2,3,2,-2,0,0,0,0,-2,5,Asian
308458,1208.76941080196,1,1,2,-2,0,0,0,0,-2,4,Hispanic
308459,805.514705882353,2,1,1,1,0,0,0,0,2,5,White
308460,1028.74925806451,2,3,2,-2,0,0,0,0,-2,3,Asian
308461,715.49376146789,2,3,1,1,1,0,0,1,1,6,Asian
308462,978.162202380952,2,1,2,-2,0,0,0,0,-2,3,White
308463,804.60679245283,2,1,2,-2,0,0,0,0,-2,2,White
308464,1475.31077586206,2,1,1,1,0,0,0,0,2,6,White
308465,907.819121621622,1,1,2,-2,0,0,0,0,-2,5,Hispanic
308466,1383.06762172284,2,1,1,2,0,0,0,0,2,2,White
308467,666.955107692307,2,2,2,-2,0,0,0,0,-2,4,Black
308468,1787.12578947368,2,1,1,1,0,0,0,0,1,6,White
308469,702.661897435897,2,1,1,1,0,0,0,0,2,4,White
308470,1460.40467391304,2,1,4,-2,0,0,0,0,-2,5,White
308471,1123.18054545454,2,1,1,1,0,0,0,0,2,4,White
308472,715.49376146789,2,2,1,2,1,0,0,0,1,4,Black
308473,686.359578947368,2,1,4,-2,0,0,0,0,-2,5,White
308474,561.782976190476,2,1,2,-2,0,0,0,0,-2,4,White
308475,1112.65689655172,2,1,1,2,1,0,0,0,2,6,White
308476,1372.71915789473,2,1,2,-2,0,0,0,0,-2,5,White
308477,884.094460784313,2,1,1,1,1,0,0,0,2,3,White
308478,1021.4125,2,4,1,2,1,0,0,0,2,6,other or multiple races
308479,1450.20449438202,2,1,2,-2,0,0,0,0,-2,5,White
308480,621.015256410256,2,1,2,-2,0,0,0,0,-2,2,White
308481,587.704919614148,2,1,1,2,0,0,0,0,2,5,White
308482,616.653972602739,2,2,2,-2,0,0,0,0,-2,2,Black
308483,616.653972602739,2,1,1,2,0,0,0,0,2,3,White
308484,450.919436619718,2,1,2,-2,0,0,0,0,-2,1,White
308485,1387.14545454545,2,1,2,-2,0,0,0,0,-2,1,White
308486,559.157456445993,2,1,2,-2,0,0,0,0,-2,2,White
308487,1014.68577272727,1,1,2,-2,0,0,0,0,-2,2,Hispanic
308488,1208.76941080196,2,3,2,-2,0,0,0,0,-2,6,Asian
308489,920.116582914573,2,1,2,-2,0,0,0,0,-2,3,White
308490,1650.82595238095,2,1,2,-2,0,0,0,0,-2,5,White
308491,442.154083601286,1,1,2,-2,0,0,0,0,-2,2,Hispanic
308492,957.107006369426,2,1,1,1,0,0,0,0,2,2,White
308493,2650.40322580645,2,1,1,1,0,0,0,0,1,2,White
308494,2143.60666666666,2,1,4,-2,0,0,0,0,-2,6,White
308495,621.015256410256,2,4,1,1,0,0,1,0,2,5,other or multiple races
308496,1383.06762172284,2,1,1,2,0,0,0,0,2,6,White
308497,1002.92050632911,2,1,1,1,0,0,0,0,2,5,White
308498,710.589417040358,2,1,1,1,1,0,0,0,2,6,White
308499,507.918926174496,2,1,1,2,1,0,0,0,1,2,White
308500,1383.06762172284,2,1,2,-2,0,0,0,0,-2,4,White
308501,643.046857142857,2,1,4,-2,0,0,0,0,-2,6,White
308502,609.074125874126,2,1,2,-2,0,0,0,0,-2,1,White
308503,1674.16653061224,1,1,2,-2,0,0,0,0,-2,3,Hispanic
308504,1383.06762172284,2,1,1,2,1,0,0,0,2,5,White
308505,1033.79522012578,2,2,1,1,0,0,0,0,2,2,Black
308506,507.918926174496,2,1,2,-2,0,0,0,0,-2,2,White
308507,616.653972602739,2,1,1,2,1,0,0,0,2,5,White
308508,1475.31077586206,1,1,2,-2,0,0,0,0,-2,3,Hispanic
308509,1043.97652173913,2,1,1,2,1,0,0,0,2,5,White
308510,1220.42508620689,1,1,1,2,0,1,0,0,2,1,Hispanic
308511,1103.0313253012,2,3,1,2,1,0,0,0,2,5,Asian
308512,1208.76941080196,2,1,2,-2,0,0,0,0,-2,3,White
308513,858.580269230769,2,1,2,-2,0,0,0,0,-2,5,White
308514,1713.5919025522,2,1,2,-2,0,0,0,0,-2,6,White
308515,1583.49107913669,2,1,2,-2,0,0,0,0,-2,2,White
308516,877.572510121457,1,1,1,2,0,0,0,0,2,3,Hispanic
308517,698.163063829787,2,1,2,-2,0,0,0,0,-2,3,White
308518,877.572510121457,1,1,2,-2,0,0,0,0,-2,5,Hispanic
308519,1208.76941080196,2,1,2,-2,0,0,0,0,-2,6,White
308520,1166.45,2,1,1,2,1,0,1,0,2,5,White
308521,858.580269230769,2,1,1,2,1,0,0,0,2,1,White
308522,1437.58727477477,2,1,2,-2,0,0,0,0,-2,2,White
308523,1208.76941080196,2,1,2,-2,0,0,0,0,-2,3,White
308524,666.955107692307,2,2,2,-2,0,0,0,0,-2,5,Black
308525,805.514705882353,2,3,2,-2,0,0,0,0,-2,5,Asian
308526,474.536322869955,2,1,2,-2,0,0,0,0,-2,3,White
308527,838.169779005525,2,1,1,2,1,0,0,1,2,5,White
308528,1026.83716535433,2,1,1,1,0,0,0,0,2,4,White
308529,920.116582914573,2,1,2,-2,0,0,0,0,-2,3,White
308530,789.484886877828,2,1,1,2,0,1,0,0,2,1,White
308531,878.747368421052,2,3,1,2,1,0,0,1,2,2,Asian
308532,1450.20449438202,2,1,1,2,0,0,0,0,2,5,White
308533,1021.4125,2,1,2,-2,0,0,0,0,-2,6,White
308534,2049.07921568627,2,2,1,2,1,0,0,0,2,5,Black
308535,1123.18054545454,2,3,5,-2,0,0,0,0,-2,6,Asian
