"","county_fips","raceeth","derived_msa_md","county_fips_race","below_5_county","above_20_county","below_5_msa","above_20_msa"
"1","13007","Black",10500,"13007_b",0.761410788381743,0.029045643153527,0.761410788381743,0.029045643153527
"2","13007","White",10500,"13007_w",0.494366197183099,0.222535211267606,0.494366197183099,0.222535211267606
"3","13007","Total",10500,"13007_t",0.602348993288591,0.144295302013423,0.602348993288591,0.144295302013423
"4","13013","Black",12060,"13013_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"5","13013","White",12060,"13013_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"6","13013","Total",12060,"13013_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"7","13015","Black",12060,"13015_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"8","13015","White",12060,"13015_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"9","13015","Total",12060,"13015_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"10","13021","Black",31420,"13021_b",0.772991850989523,0.0454016298020955,0.772991850989523,0.0454016298020955
"11","13021","White",31420,"13021_w",0.384158415841584,0.293729372937294,0.384158415841584,0.293729372937294
"12","13021","Total",31420,"13021_t",0.524852569502949,0.203875315922494,0.524852569502949,0.203875315922494
"13","13025","Black",15260,"13025_b",0.728476821192053,0.033112582781457,0.728476821192053,0.033112582781457
"14","13025","White",15260,"13025_w",0.345668629100084,0.362489486963835,0.345668629100084,0.362489486963835
"15","13025","Total",15260,"13025_t",0.388805970149254,0.325373134328358,0.388805970149254,0.325373134328358
"16","13027","Black",46660,"13027_b",0.858247422680412,0.0438144329896907,0.858247422680412,0.0438144329896907
"17","13027","White",46660,"13027_w",0.529411764705882,0.205882352941176,0.529411764705882,0.205882352941176
"18","13027","Total",46660,"13027_t",0.608560794044665,0.166873449131514,0.608560794044665,0.166873449131514
"19","13029","Black",42340,"13029_b",0.749379652605459,0.0736145574855252,0.749379652605459,0.0736145574855252
"20","13029","White",42340,"13029_w",0.382603406326034,0.310624493106245,0.382603406326034,0.310624493106245
"21","13029","Total",42340,"13029_t",0.454811919882755,0.263963523856049,0.454811919882755,0.263963523856049
"22","13033","Black",12260,"13033_b",0.767337807606264,0.0626398210290828,0.767337807606264,0.0626398210290828
"23","13033","White",12260,"13033_w",0.445762711864407,0.26864406779661,0.445762711864407,0.26864406779661
"24","13033","Total",12260,"13033_t",0.534111862323294,0.212046711739398,0.534111862323294,0.212046711739398
"25","13035","Black",12060,"13035_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"26","13035","White",12060,"13035_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"27","13035","Total",12060,"13035_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"28","13045","Black",12060,"13045_b",0.606604398028977,0.1133705964551,0.606604398028976,0.1133705964551
"29","13045","White",12060,"13045_w",0.233448314231668,0.423478357627684,0.233448314231668,0.423478357627684
"30","13045","Total",12060,"13045_t",0.374135229935255,0.306561854455212,0.374135229935257,0.306561854455212
"31","13047","Black",16860,"13047_b",0.648648648648649,0.11003861003861,0.648648648648649,0.11003861003861
